name,title,xpath,grid_name,parent_grid_name,type,widget,container,format,ignore_empty,ignore_autocalc_check,export_result,force_def_val,disabled,readonly,required,weight,allow_cyrillic,default_value,options,attributes,class,rows,minlength,maxlength,decimal_length,pattern,exclude_from_xml,extensions,max_size,tag
CAPITOL6_R666_C1,Capitol 6 Rind.666 da,dec/DataSet/Data/CAPITOL6_R666_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R666_C2,Capitol 6 Rind.666 nu,dec/DataSet/Data/CAPITOL6_R666_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R667_C1,Capitol 6 Rind.667 da,dec/DataSet/Data/CAPITOL6_R667_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R667_C2,Capitol 6 Rind.667 nu,dec/DataSet/Data/CAPITOL6_R667_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R668_C1,Capitol 6 Rind.668 da,dec/DataSet/Data/CAPITOL6_R668_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R668_C2,Capitol 6 Rind.668 nu,dec/DataSet/Data/CAPITOL6_R668_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R670_C1,Capitol 6 Rind.670 da,dec/DataSet/Data/CAPITOL6_R670_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R670_C2,Capitol 6 Rind.670 nu,dec/DataSet/Data/CAPITOL6_R670_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R710_C1,Capitol 7 Rind.710 da,dec/DataSet/Data/CAPITOL7_R710_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R710_C2,Capitol 7 Rind.710 nu,dec/DataSet/Data/CAPITOL7_R710_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R721_C1,Capitol 7 Rind.721 da,dec/DataSet/Data/CAPITOL7_R721_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R721_C2,Capitol 7 Rind.721 nu,dec/DataSet/Data/CAPITOL7_R721_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R722_C1,Capitol 7 Rind.722 da,dec/DataSet/Data/CAPITOL7_R722_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R722_C2,Capitol 7 Rind.722 nu,dec/DataSet/Data/CAPITOL7_R722_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R730_C1,Capitol 7 Rind.730 da,dec/DataSet/Data/CAPITOL7_R730_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R730_C2,Capitol 7 Rind.730 nu,dec/DataSet/Data/CAPITOL7_R730_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R740_C1,Capitol 7 Rind.740 da,dec/DataSet/Data/CAPITOL7_R740_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R740_C2,Capitol 7 Rind.740 nu,dec/DataSet/Data/CAPITOL7_R740_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R751_C1,Capitol 7 Rind.751 da,dec/DataSet/Data/CAPITOL7_R751_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
